County,Old Chapter,News Chapters,Old Region,New Regions,FIPS,State,LAT,LONG, Population ,,,
Alachua,North Central Florida,Northeast Florida Chapter,North,North and Central,12001,Florida,29.6747,-82.3577,"276,171",,,
Baker,Northeast Florida,Northeast Florida Chapter,North,North and Central,12003,Florida,30.3311,-82.2846,"28,003",,,
Bay,Northwest Florida,Northwest Florida Chapter,North,North and Central,12005,Florida,30.2652,-85.6203,"181,384",,,
Bradford,North Central Florida,Northeast Florida Chapter,Central,North and Central,12007,Florida,29.95,-82.1687,"27,928",,,
Brevard,Central Florida Coast,Space Coast Chapter,North,North and Central,12009,Florida,28.2937,-80.7323,"601,573",,,
Broward, Broward,Broward Chapter,South,South,12011,Florida,26.1523,-80.4871,"1,934,551",,,
Calhoun,Capital Area,Northwest Florida Chpater,North,North and Central,12013,Florida,30.4061,-85.1971,"13,863",,,
Charlotte,Southwest Gulf Coast to Glades,Southwest Florida Chapter,Central,South,12015,Florida,26.9055,-81.9123,"184,837",,,
Citrus,Tampa Bay,Mid Florida Chapter,Central,North and Central,12017,Florida,28.8489,-82.4794,"151,888",,,
Clay,Northeast Florida,Northeast Florida Chapter,North,North and Central,12019,Florida,29.9831,-81.8579,"216,308",,,
Collier,Southwest Gulf Coast to Glades,Florida Southern Gulf to Heartland Chapter,Central,South,12021,Florida,26.1108,-81.3475,"372,797",,,
Columbia,North Central Florida,Capital Area Chapter,Central,North and Central,12023,Florida,30.2242,-82.6215,"69,265",,,
DeSoto,Mid Florida,Southwest Florida Chapter,North,South,12027,Florida,27.1863,-81.8094,"34,027",,,
Dixie,North Central Florida,Northeast Florida Chapter,North,North and Central,12029,Florida,29.6082,-83.1588,"16,701",,,
Duval,Northeast Florida,Northeast Florida Chapter,Central,North and Central,12031,Florida,30.3316,-81.6708,"983,153",,,
Escambia,Northwest Florida,Northwest Florida Chpater,Central,North and Central,12033,Florida,30.669,-87.363,"318,828",,,
Flagler,Northeast Florida,Space Coast Chapter,Central,North and Central,12035,Florida,29.4614,-81.3136,"113,888",,,
Franklin,Capital Area,Capital Area Chapter,South,North and Central,12037,Florida,29.8765,-84.814,"12,232",,,
Gadsden,Capital Area,Capital Area Chapter,Central,North and Central,12039,Florida,30.5795,-84.6136,"44,233",,,
Gilchrist,North Central Florida,Northeast Florida Chapter,Central,North and Central,12041,Florida,29.7258,-82.8004,"17,759",,,
Glades,Mid Florida,Florida Southern Gulf to Heartland Chapter,South,South,12043,Florida,26.9564,-81.189,"12,183",,,
Gulf,Capital Area,Northwest Florida Chpater,North,North and Central,12045,Florida,29.9556,-85.2266,"15,205",,,
Hamilton,North Central Florida,Capital Area Chapter,North,North and Central,12047,Florida,30.4964,-82.9479,"13,973",,,
Hardee,Mid Florida,Southwest Florida Chapter,South,South,12049,Florida,27.4927,-81.81,"25,632",,,
Hendry,Southwest Gulf Coast to Glades,Florida Southern Gulf to Heartland Chapter,South,South,12051,Florida,26.5535,-81.1659,"39,439",,,
Hernando,Tampa Bay,Mid Florida Chapter,South,North and Central,12053,Florida,28.5535,-82.4245,"192,128",,,
Highlands,Mid Florida,Florida Southern Gulf to Heartland Chapter,North,South,12055,Florida,27.3433,-81.341,"101,174",,,
Hillsborough,Tampa Bay,Tampa Bay Chapter,Central,North and Central,12057,Florida,27.9291,-82.3091,"1,444,359",,,
Holmes,Northwest Florida,Northwest Florida Chpater,North,North and Central,12059,Florida,30.8679,-85.814,"19,622",,,
Indian River,Palm Beach to Treasure Coast,Palm Beach & Treasure Coast Chapter,North,South,12061,Florida,27.6943,-80.6062,"158,002",,,
Jackson,Capital Area,Northwest Florida Chpater,North,North and Central,12063,Florida,30.7954,-85.2155,"48,067",,,
Jefferson,Capital Area,Capital Area Chapter,North,North and Central,12065,Florida,30.4375,-83.8953,"14,405",,,
Lafayette,North Central Florida,Capital Area Chapter,South,North and Central,12067,Florida,29.9855,-83.1811,"8,343",,,
Lake,Central Florida Coast,Mid Florida Chapter,Central,North and Central,12069,Florida,28.7615,-81.7113,"375,059",,,
Lee,Southwest Gulf Coast to Glades,Florida Southern Gulf to Heartland Chapter,North,South,12071,Florida,26.5779,-81.8337,"752,251",,,
Leon,Capital Area,Capital Area Chapter,North,North and Central,12073,Florida,30.458,-84.2779,"290,965",,,
Levy,North Central Florida,Northeast Florida Chapter,North,North and Central,12075,Florida,29.3184,-82.7436,"42,392",,,
Liberty,Capital Area,Capital Area Chapter,South,North and Central,12077,Florida,30.2414,-84.8829,"7,987",,,
Madison,North Central Florida,Capital Area Chapter,North,North and Central,12079,Florida,30.4441,-83.4701,"18,051",,,
Manatee,Tampa Bay,Southwest Florida Chapter,Central,North and Central,12081,Florida,27.4719,-82.3153,"394,824",,,
Marion,Central Florida Coast,Northeast Florida Chapter,South,North and Central,12083,Florida,29.2102,-82.0567,"370,372",,,
Martin,Palm Beach to Treasure Coast,Palm Beach & Treasure Coast Chapter,Central,South,12085,Florida,27.0775,-80.4315,"158,323",,,
Miami-Dade, Greater Miami to the Keys,Greater Miami and the Keys Chapter,South,South,12086,Florida,25.615,-80.5623,"2,690,113",,,
Monroe, Greater Miami to the Keys,Greater Miami and the Keys Chapter,Central,South,12087,Florida,25.3187,-81.1087,"82,244",,,
Nassau,Northeast Florida,Northeast Florida Chapter,North,North and Central,12089,Florida,30.6107,-81.8017,"88,492",,,
Okaloosa,Northwest Florida,Northwest Florida Chpater,North,North and Central,12091,Florida,30.6913,-86.5917,"209,230",,,
Okeechobee,Mid Florida,Palm Beach & Treasure Coast Chapter,South,South,12093,Florida,27.3864,-80.8886,"39,716",,,
Orange,Central Florida Coast,Greater Orlando,North,North and Central,12095,Florida,28.5145,-81.3236,"1,409,949",,,
Osceola,Central Florida Coast,Greater Orlando,North,North and Central,12097,Florida,28.0627,-81.1494,"380,331",,,
Palm Beach,Palm Beach to Treasure Coast,Palm Beach & Treasure Coast Chapter,North,South,12099,Florida,26.6476,-80.4655,"1,481,233",,,
Pasco,Tampa Bay,Mid Florida Chapter,Central,North and Central,12101,Florida,28.3091,-82.3932,"551,598",,,
Pinellas,Tampa Bay,Tampa Bay Chapter,North,North and Central,12103,Florida,27.92,-82.7256,"957,989",,,
Polk,Mid Florida,Mid Florida Chapter,North,South,12105,Florida,27.9489,-81.6976,"713,148",,,
Putnam,Northeast Florida,Northeast Florida Chapter,North,North and Central,12107,Florida,29.6087,-81.7443,"73,147",,,
Santa Rosa,Northwest Florida,Northwest Florida Chpater,Central,North and Central,12113,Florida,30.7004,-87.0219,"184,345",,,
Sarasota,Southwest Gulf Coast to Glades,Southwest Florida Chapter,North,South,12115,Florida,27.1845,-82.3315,"429,336",,,
Seminole,Central Florida Coast,Greater Orlando,South,North and Central,12117,Florida,28.717,-81.2363,"467,382",,,
St. Johns,Northeast Florida,Northeast Florida Chapter,North,North and Central,12109,Florida,29.9016,-81.4407,"265,724",,,
St. Lucie,Palm Beach to Treasure Coast,Palm Beach & Treasure Coast Chapter,Central,South,12111,Florida,27.3773,-80.472,"324,599",,,
Sumter,Central Florida Coast,Mid Florida Chapter,Central,North and Central,12119,Florida,28.7048,-82.081,"127,335",,,
